import time: self [us] | cumulative | imported package
import time:       521 |        521 |     pandas.util._print_versions
import time:       646 |        646 |       pandas.io.clipboards
import time:       665 |        665 |           pandas.io.excel._util
import time:      1271 |       1271 |           pandas.io.excel._calamine
import time:       722 |        722 |           pandas.io.excel._odfreader
import time:       683 |        683 |           pandas.io.excel._openpyxl
import time:       529 |        529 |           pandas.io.excel._pyxlsb
import time:      1038 |       1038 |           pandas.io.excel._xlrd
import time:     14259 |      19165 |         pandas.io.excel._base
import time:       843 |        843 |         pandas.io.excel._odswriter
import time:      1227 |       1227 |         pandas.io.excel._xlsxwriter
import time:       512 |      21745 |       pandas.io.excel
import time:       610 |        610 |       pandas.io.feather_format
import time:       466 |        466 |       pandas.io.gbq
import time:      1116 |       1116 |       pandas.io.html
import time:       484 |        484 |       pandas.io.orc
import time:       810 |        810 |       pandas.io.parquet
import time:       609 |        609 |         pandas.compat.pickle_compat
import time:       602 |       1210 |       pandas.io.pickle
import time:       816 |        816 |         pandas.core.computation.pytables
import time:      3694 |       4510 |       pandas.io.pytables
import time:       872 |        872 |         pandas.io.sas.sasreader
import time:       488 |       1360 |       pandas.io.sas
import time:       504 |        504 |       pandas.io.spss
import time:      1047 |       1047 |       pandas.io.sql
import time:       940 |        940 |       pandas.io.xml
import time:       690 |      36133 |     pandas.io.api
import time:       868 |        868 |     pandas.util._tester
